plz_name;Spalte1;lan_name;geo_point_2d
Herzogenrath;52134;Nordrhein-Westfalen;50.8638900847,6.09832161494
Niederkrüchten;41372;Nordrhein-Westfalen;51.2048375784,6.15424337541
Langerwehe;52379;Nordrhein-Westfalen;50.7987741433,6.3643683641
Schönecken;54614;Rheinland-Pfalz;50.1510017758,6.44878094816
Dahlem;53949;Nordrhein-Westfalen;50.3959654257,6.51099135402
Welschbillig, Igel, Aach;54298;Rheinland-Pfalz;49.7222970687,6.5447844616
Lissendorf;54587;Rheinland-Pfalz;50.3161009377,6.60334508396
Irsch;54451;Rheinland-Pfalz;49.5965860929,6.61865138847
Neuss;41462;Nordrhein-Westfalen;51.2168404383,6.66294434401
Trier;54295;Rheinland-Pfalz;49.7470394006,6.65590795934
Neuss;41468;Nordrhein-Westfalen;51.1684439301,6.76167339693
Düsseldorf;40489;Nordrhein-Westfalen;51.3213726247,6.7654215504
Dinslaken;46539;Nordrhein-Westfalen;51.5751636711,6.79771814139
Antweiler, Aremberg, Dorsel, Eichenbach, Aremberg, Fuchshofen und Müsch;53533;Rheinland-Pfalz;50.4075857554,6.81257130218
Düsseldorf;40472;Nordrhein-Westfalen;51.2698493805,6.82283074911
Reifferscheid, Kaltenborn, Wershofen u.a.;53520;Rheinland-Pfalz;50.3392249203,6.82315366626
Saarbrücken;66127;Saarland;49.2261134546,6.87185580274
Reinsfeld;54421;Rheinland-Pfalz;49.6784674269,6.88298113941
Gillenfeld;54558;Rheinland-Pfalz;50.1196226588,6.92127165484
Velen;46342;Nordrhein-Westfalen;51.8972272746,6.95376356663
Köln;50676;Nordrhein-Westfalen;50.9312757365,6.95244062602
Köln;50733;Nordrhein-Westfalen;50.9643442031,6.95377323471
Ettringen;56729;Rheinland-Pfalz;50.3286948986,7.09768127486
Essen;45127;Nordrhein-Westfalen;51.4573941023,7.01059603228
Bernkastel-Kues u.a.;54470;Rheinland-Pfalz;49.9242044612,7.05773284539
Alflen;56828;Rheinland-Pfalz;50.181225818,7.04263276988
Nordhorn;48529;Niedersachsen;52.3958423067,7.08385946381
Bonn;53119;Nordrhein-Westfalen;50.7456069198,7.06231237129
Essen;45259;Nordrhein-Westfalen;51.4055758524,7.06225685786
Jagsthausen;74249;Baden-Württemberg;49.3099458869,9.46649199574
Oberteuringen;88094;Baden-Württemberg;47.7339269626,9.47069307462
Lenningen;73252;Baden-Württemberg;48.5459299832,9.50156141467
Leutenbach;71397;Baden-Württemberg;48.8950936939,9.45224875375
Wennigsen (Deister);30974;Niedersachsen;52.2608399575,9.57777854725
Schwarmstedt u.a.;29690;Niedersachsen;52.6828560156,9.63127720004
Kollmar, Pagensand;25377;Schleswig-Holstein;53.6901927575,9.51635283121
Dollern;21739;Niedersachsen;53.5381902293,9.53830502941
Boffzen, Derental;37691;Niedersachsen;51.7331523488,9.5069829897
Königheim;97953;Baden-Württemberg;49.5960534606,9.56461991225
Ehingen (Donau), Lauterach;89584;Baden-Württemberg;48.2818251209,9.65899275366
Eriskirch;88097;Baden-Württemberg;47.6380199985,9.53739075351
Werbach;97956;Baden-Württemberg;49.6885492301,9.66019409682
Zell unter Aichelberg;73119;Baden-Württemberg;48.6479984339,9.57507347047
Holenberg;37642;Niedersachsen;51.912196631,9.58458086591
Aulendorf;88326;Baden-Württemberg;47.9420724988,9.6489065124
Wangen;73117;Baden-Württemberg;48.7340596392,9.60331369416
Helsa;34298;Hessen;51.2461008147,9.6842786168
Eime;31036;Niedersachsen;52.0644307924,9.70024517657
Nachrodt-Wiblingwerde;58769;Nordrhein-Westfalen;51.3123376407,7.6175624081
Eschbach;79427;Baden-Württemberg;47.8949269679,7.63616385915
Fürstenau;49584;Niedersachsen;52.5058062286,7.68273219705
Ihringen;79241;Baden-Württemberg;48.0543548906,7.65792524439
Iserlohn;58640;Nordrhein-Westfalen;51.4296612035,7.67457669095
Seibersbach;55444;Rheinland-Pfalz;49.9415835627,7.73588673679
Unna;59423;Nordrhein-Westfalen;51.5303574159,7.69343479727
Guldental;55452;Rheinland-Pfalz;49.8998293697,7.80760841545
Sankt Goarshausen u.a.;56346;Rheinland-Pfalz;50.1489183939,7.73854371707
